id_ue;intitule;nb_groupes;capac1;capac2;capac3;capac4;capac5;cours1;cours2;td1;tme1;td2;tme2;td3;tme3;td4;tme4;td5;tme5
1;anglais;1;500;;;;;1;;2;;;;;;;;;
2;anglais ;1;500;;;;;13;;14;;;;;;;;;
3;anum;1;32;;;;;11;;12;;;;;;;;;
4;aps;1;32;;;;;14;;11;12;;;;;;;;
5;ar;1;32;;;;;7;;3;4;;;;;;;;
6;bium;1;32;;;;;3;;11;12;;;;;;;;
7;bmc;1;32;;;;;23;;24;7;;;;;;;;
8;ca;1;32;;;;;1;;6;7;;;;;;;;
9;cge;1;32;;;;;-1;;;;;;;;;;;
10;comnum;1;32;;;;;22;;23;24;;;;;;;;
11;cpa;1;32;;;;;22;;23;24;;;;;;;;
12;cps;1;32;;;;;9;;3;4;;;;;;;;
13;dj;2;32;32;;;;3;;16;17;21;22;;;;;;
14;ecfa;1;32;;;;;4;17;1;2;;;;;;;;
15;flag;1;32;;;;;21;;1;2;;;;;;;;
16;fosyma;1;32;;;;;4;;6;7;;;;;;;;
17;fpga;3;20;8;8;;;9;;3;4;6;7;6;7;;;;
18;hpc;1;32;;;;;22;;6;7;;;;;;;;
19;iamsi;1;32;;;;;13;;6;7;;;;;;;;
20;ig3d;1;32;;;;;9;;18;19;;;;;;;;
21;ihm;1;32;;;;;9;;11;12;;;;;;;;
22;ioc;1;40;;;;;16;;21;22;;;;;;;;
23;isec;1;32;;;;;16;;23;24;;;;;;;;
24;ml;2;32;32;;;;14;;6;7;16;17;;;;;;
25;mll;1;32;;;;;-1;;11;12;;;;;;;;
26;mmcn;1;32;;;;;17;;21;22;;;;;;;;
27;multi;1;40;;;;;12;;23;24;;;;;;;;
28;paf;1;32;;;;;13;;18;19;;;;;;;;
29;pc2r;1;32;;;;;2;;16;17;;;;;;;;
30;pnl;1;40;;;;;6;;18;19;;;;;;;;
31;qiintro;1;32;;;;;13;;23;24;;;;;;;;
32;ra;1;50;;;;;14;;18;19;;;;;;;;
33;rital;1;32;;;;;4;;18;19;;;;;;;;
34;rout;1;32;;;;;1;;18;19;;;;;;;;
35;rp;1;32;;;;;23;;16;17;;;;;;;;
36;sam;1;32;;;;;9;;21;22;;;;;;;;
37;sbas;1;32;;;;;6;;3;4;;;;;;;;
38;sdm;1;32;;;;;6;;7;8;;;;;;;;
39;sftr;1;32;;;;;11;;16;17;;;;;;;;
40;srcs;1;32;;;;;12;;23;24;;;;;;;;
41;projet;1;500;;;;;-1;;;;;;;;;;;
